customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,ETL_updated_ts,ETL_DATASOURCE_NAME,customer_key
79672044,Jagdish Vora,hemangini55@example.com,915901330659,92 Choudhury Ganj Bhopal000074,Hapur,964688,2023-12-17,NEW,8,1115.88,2025-10-05 23:04:38.706907,1,374310697
13461704,Zayan Ratta,shivansh35@example.com,914996250775,3378Joshi Path Ludhiana975587,Nanded,770516,2024-04-04,PREMIUM,4,1024.45,2025-10-05 23:04:38.706907,1,749840006
66135710,Zayan Thakkar,ranveer19@example.net,914797514705,6855 Bhattacharyya Zila Coimbatore 134031,Ramgarh,352680,2023-11-28,NEW,6,308.63,2025-10-05 23:04:38.706907,1,1831379387
50572914,Ishani Mukherjee,shivani15@example.net,916128520461,HNo 68 Gade ChowkSiliguri878991,Bihar Sharif,654429,2023-10-21,REGULAR,20,701.55,2025-10-05 23:04:38.706907,1,2087290782
4386273,Jagrati Sengupta,pandeymahika@example.org,911622184828,20 Jayaraman ZilaKhora 207127,Nandyal,494307,2024-06-26,INACTIVE,12,298.97,2025-10-05 23:04:38.706907,1,223867535
57537308,Ayush Buch,morejagdish@example.net,912414404228,079Goyal Zila Bhiwani715658,Jorhat,779981,2024-05-18,NEW,8,1641.88,2025-10-05 23:04:38.706907,1,1132027942
34526442,Harita Chatterjee,gaurika82@example.com,911099088799,HNo 249 MalhotraGhaziabad893659,Raipur,674102,2023-09-27,REGULAR,14,1956.45,2025-10-05 23:04:38.706907,1,1392125422
67383024,Riya Kothari,chowdhuryimaran@example.net,917775061608,648 Biswas Street Jalandhar 957104,Kollam,436202,2024-04-10,PREMIUM,14,1240.9,2025-10-05 23:04:38.706907,1,1584729346
28350645,Alka Srinivasan,xtalwar@example.org,917083212594,623 Bassi Chowk Patiala864851,Ratlam,360999,2024-01-12,INACTIVE,9,553.0,2025-10-05 23:04:38.706907,1,1254638127
81940369,Nilima Chaudhuri,agrawalmugdha@example.com,912540363435,HNo 466 Bhavsar Nagar KalyanDombivli115231,Nellore,522947,2024-02-24,PREMIUM,10,316.79,2025-10-05 23:04:38.706907,1,307688878
89950235,Aarav Dayal,darsh33@example.net,912975749481,HNo 639Chowdhury Path Tadepalligudem993818,Warangal,334280,2023-12-24,PREMIUM,13,1179.29,2025-10-05 23:04:38.706907,1,1304732219
88202341,Jagrati Dubey,vasatika03@example.net,916290915278,470 Kibe Zila Tirupati332036,Kottayam,174979,2023-08-20,INACTIVE,9,644.06,2025-10-05 23:04:38.706907,1,783083912
41155125,Yahvi Doshi,daliaoviya@example.com,918695302072,11Kaul Path Berhampore 085176,Tenali,82916,2024-04-22,INACTIVE,14,1454.3,2025-10-05 23:04:38.706907,1,624576624
46369552,Keya Modi,bbumb@example.org,917249134497,4976Bansal Path Bangalore861073,Jaipur,688982,2024-09-16,REGULAR,17,456.51,2025-10-05 23:04:38.706907,1,1401678709
48943848,Tarak Nair,atwalmeghana@example.org,914393489828,145 Apte StreetOrai869408,Patiala,993533,2024-06-21,PREMIUM,13,245.46,2025-10-05 23:04:38.706907,1,1835700085
39645619,Indira Jaggi,falaksunder@example.org,913217797684,08524Toor Path Imphal 250392,Maheshtala,740640,2023-06-17,REGULAR,13,1512.4,2025-10-05 23:04:38.706907,1,1365062697
76917159,Hiral Arya,mason40@example.net,919423640425,5393 Saran Road Sambhal 129176,Ludhiana,591173,2024-06-23,PREMIUM,11,1777.83,2025-10-05 23:04:38.706907,1,400778967
72366758,Vedant Sengupta,xbarad@example.net,915548301513,51364 Dewan PathMumbai975747,Ichalkaranji,228827,2023-11-19,INACTIVE,9,513.7,2025-10-05 23:04:38.706907,1,1854443847
66140659,Omya Iyengar,ishanimaharaj@example.net,916881997869,HNo 51 Lanka StreetBettiah 293595,Ongole,15696,2023-12-09,PREMIUM,8,509.85,2025-10-05 23:04:38.706907,1,700730926
87457446,Yashodhara Sarraf,prabhudaksha@example.com,916371662776,HNo 80Seshadri ChowkChittoor 085684,Katihar,525466,2024-07-02,PREMIUM,7,1301.39,2025-10-05 23:04:38.706907,1,1265960161
10830043,Gabriel Iyer,bbala@example.com,917749185958,HNo 369 Buch Circle Jammu963201,Hospet,548469,2023-10-15,NEW,9,899.6,2025-10-05 23:04:38.706907,1,255412477
97150234,Ishaan Brahmbhatt,madhavi33@example.com,917565232774,997 Lala PathAnantapuram222697,Bihar Sharif,945899,2023-11-22,NEW,13,1527.55,2025-10-05 23:04:38.706907,1,948246249
72489544,Sanaya Joshi,gsampath@example.net,917642751322,HNo 551 Bava ChowkMadurai398541,Siwan,332066,2024-09-19,INACTIVE,17,1600.17,2025-10-05 23:04:38.706907,1,911085552
81352781,Brinda Bassi,jminhas@example.net,912401887733,0395 Virk RoadSatna 527580,Dehradun,455587,2024-02-27,REGULAR,4,564.55,2025-10-05 23:04:38.706907,1,1651972546
88130777,Darsh Gupta,xdash@example.org,918488103744,508Brar Path Machilipatnam 589416,North Dumdum,424291,2023-10-17,NEW,16,301.23,2025-10-05 23:04:38.706907,1,1618823404
65294340,Jasmit Kota,arjunbandi@example.com,918690426482,53982 Pandya MargAnantapur635508,Jamalpur,835263,2024-04-16,NEW,17,356.29,2025-10-05 23:04:38.706907,1,1226181625
40387944,Chavvi Gill,qabil65@example.net,913771369246,584 Mohanty Marg Mirzapur256533,Parbhani,373298,2024-03-15,REGULAR,10,569.91,2025-10-05 23:04:38.706907,1,1000548784
91868185,Raghav Sathe,ekaniparmer@example.org,919502350382,0026 Chandra Chowk Uluberia 117916,Srinagar,517675,2023-10-15,NEW,1,1657.84,2025-10-05 23:04:38.706907,1,133138281
31846190,Charan Choudhary,tristantank@example.org,913765675938,2356 Kadakia MargPatna321511,Kolkata,264654,2024-09-08,NEW,4,1176.18,2025-10-05 23:04:38.706907,1,940479128
15529446,Pallavi Goda,samarthpandey@example.com,911060144223,HNo 264Master Chowk Patna122382,Haridwar,665417,2023-10-10,PREMIUM,9,854.35,2025-10-05 23:04:38.706907,1,111142821
20956158,Kashish Misra,issacjalsa@example.net,918164398862,5577Nadkarni ZilaMachilipatnam 232117,Kavali,767570,2024-03-10,PREMIUM,7,312.69,2025-10-05 23:04:38.706907,1,1030051935
68159723,Yashvi Pathak,wallaarunima@example.org,916156322453,866 Zachariah ZilaMadurai 896328,Orai,197279,2024-05-21,NEW,6,1214.62,2025-10-05 23:04:38.706907,1,2016541500
48554440,Rohan Ganesan,bhavika36@example.net,919450531493,2772Raj Chowk Bhiwani471346,Malegaon,231443,2024-03-28,REGULAR,17,1354.99,2025-10-05 23:04:38.706907,1,939395310
966247,Jeevika Deo,sbalasubramanian@example.net,914778660685,894 Chanda RoadKamarhati 134874,Junagadh,410259,2023-11-16,INACTIVE,13,1110.76,2025-10-05 23:04:38.706907,1,1304708077
40015980,Dipta Deshmukh,dugarpooja@example.org,919603818038,96245 Karnik StreetBijapur598528,Katni,118043,2023-06-28,NEW,18,1031.91,2025-10-05 23:04:38.706907,1,40465120
63262519,Benjamin Balakrishnan,nkaran@example.com,912022513666,HNo 08Kalla RoadUdupi 906901,Karaikudi,681242,2024-02-21,REGULAR,10,607.45,2025-10-05 23:04:38.706907,1,1929914149
81763298,Laban Kumar,xhanda@example.com,917218237156,71Chadha Marg Tezpur 405760,Ichalkaranji,469063,2023-07-29,PREMIUM,1,1747.14,2025-10-05 23:04:38.706907,1,391765775
49985597,Neel Rastogi,rachana02@example.net,910963742438,27024 Kumer Circle Kurnool562150,Kishanganj,147502,2024-08-06,REGULAR,3,775.73,2025-10-05 23:04:38.706907,1,987744686
21282544,Warda Basak,lchoudhary@example.net,919755371641,413Kakar RoadUjjain 345914,Jaunpur,808063,2024-08-28,REGULAR,16,657.98,2025-10-05 23:04:38.706907,1,121871528
78868716,Sai Chhabra,mahika95@example.net,912345303128,HNo 581Prabhakar Road Morena 912519,Madhyamgram,179333,2023-12-10,INACTIVE,5,1774.41,2025-10-05 23:04:38.706907,1,1980337174
30733165,Gaurang Grewal,gramesh@example.org,916506983114,9494 Hayer Ganj Dhanbad672298,Ujjain,119364,2024-05-10,INACTIVE,10,1609.11,2025-10-05 23:04:38.706907,1,807634786
78678612,Kritika Padmanabhan,divyaluthra@example.com,919528247423,HNo 71Shroff Nagar Bellary820754,Mehsana,505469,2024-06-20,PREMIUM,1,795.06,2025-10-05 23:04:38.706907,1,541156580
48511124,Girish Shankar,aggarwalhenry@example.org,912703776064,HNo 39 Sekhon Street Sagar 312966,Korba,315557,2023-05-15,INACTIVE,10,1076.14,2025-10-05 23:04:38.706907,1,1255554069
26412689,Yadavi Rastogi,hemanimander@example.net,915932940928,HNo 486 Chaudhary RoadGangtok942061,Bahraich,693005,2024-06-13,REGULAR,1,1700.46,2025-10-05 23:04:38.706907,1,212337270
26303194,Janaki Parsa,bhargavanachiket@example.org,911394026169,49Varghese Road Raichur972279,Pali,544786,2023-04-29,PREMIUM,18,1045.94,2025-10-05 23:04:38.706907,1,378201509
93735495,Urvi Prasad,sanyathaman@example.org,914690237071,HNo 537 Solanki Nagar Adoni229163,Jehanabad,984732,2023-05-23,REGULAR,7,871.15,2025-10-05 23:04:38.706907,1,1554564547
8395610,Ranveer Subramanian,gourkeya@example.org,919565623211,892 Shukla PathNandyal 578526,Erode,820741,2024-03-23,INACTIVE,18,294.53,2025-10-05 23:04:38.706907,1,1009691395
41640262,Vihaan Gola,samesh12@example.com,913681309390,708Rao NagarGandhidham720600,Ulhasnagar,275919,2023-08-17,INACTIVE,9,1805.87,2025-10-05 23:04:38.706907,1,436149321
60618999,Lopa Vig,dalbir15@example.org,916107809027,551 Sawhney RoadSatna 010828,Pudukkottai,596613,2024-07-28,REGULAR,15,1631.96,2025-10-05 23:04:38.706907,1,1938262456
77220027,Aryan Krish,agatedaksh@example.com,912081733998,18938 Pai MargAurangabad 807716,Coimbatore,387538,2023-12-11,PREMIUM,16,551.81,2025-10-05 23:04:38.706907,1,1191440879
32019725,Tarak Rout,nitarabatta@example.net,918312294019,HNo 952 Munshi ZilaPondicherry 250063,Panchkula,791364,2024-01-19,PREMIUM,19,1169.96,2025-10-05 23:04:38.706907,1,788443271
38709137,Neha Gade,lmahal@example.com,917282970070,34477 Bali Ganj Udaipur 580186,Mau,855661,2023-07-07,INACTIVE,18,1307.64,2025-10-05 23:04:38.706907,1,1108414048
11540364,Jonathan Virk,wiyer@example.net,919470187869,HNo 14 Bir PathUjjain 314070,Firozabad,94033,2024-09-24,NEW,20,517.32,2025-10-05 23:04:38.706907,1,1122099972
59207798,Chakrika Bhargava,omlopa@example.org,912674586312,18Master ZilaMiryalaguda 319766,Ballia,78765,2023-07-02,PREMIUM,4,1441.64,2025-10-05 23:04:38.706907,1,1826852155
10797688,Sudiksha Mannan,janigauri@example.net,911173858493,782 Golla GanjKottayam979207,Bathinda,220981,2023-05-22,NEW,7,1017.39,2025-10-05 23:04:38.706907,1,1348977923
88965399,Darsh Sura,yachanabalakrishnan@example.net,915674743154,HNo 599Menon Path KalyanDombivli 164642,Guntur,563500,2024-05-28,REGULAR,3,1144.21,2025-10-05 23:04:38.706907,1,773593139
10608845,Aadi Gole,vbalan@example.com,918797630971,69876 Varughese PathTadipatri 100656,Bhilwara,702163,2024-03-29,PREMIUM,2,735.36,2025-10-05 23:04:38.706907,1,1357830742
28603182,Karan Narayan,zaid12@example.net,915668029297,470Ravi Ganj Ulhasnagar033422,South Dumdum,663469,2024-08-02,NEW,11,490.13,2025-10-05 23:04:38.706907,1,254889251
1152215,Yachana Pathak,chakradevnigam@example.org,912968749008,067 Rao StreetMotihari 908674,Dhanbad,251590,2024-05-27,INACTIVE,2,1637.43,2025-10-05 23:04:38.706907,1,251609125
24357425,Wriddhish Munshi,nazaretharin@example.net,919235521021,HNo 36 Dani Nagar Madurai481558,Farrukhabad,399792,2024-07-17,INACTIVE,6,798.18,2025-10-05 23:04:38.706907,1,1966995062
93924203,Xalak Goyal,iyengaryashoda@example.net,919121320359,HNo 86Bath Path Aligarh 524302,Jorhat,23557,2023-04-21,PREMIUM,18,1360.15,2025-10-05 23:04:38.706907,1,1682433789
61406908,Harrison Mistry,abhimanyu55@example.org,918553078964,HNo 08 DeoAizawl412973,Deoghar,365307,2023-12-24,REGULAR,1,458.39,2025-10-05 23:04:38.706907,1,1598564589
78841932,Bhavani Rai,varkeyalexander@example.com,915276737008,HNo 104Tak Ganj Bhatpara 028985,Guna,907803,2024-04-19,INACTIVE,4,979.63,2025-10-05 23:04:38.706907,1,1921003641
67310893,Idika Patla,arya77@example.org,917710512882,91165 Dewan CircleAjmer980052,Chennai,286135,2024-04-10,NEW,19,1592.94,2025-10-05 23:04:38.706907,1,377547015
666589,Kevin Bassi,jainchandani@example.net,912286568717,25224Soni GanjVisakhapatnam398942,Morbi,852969,2023-07-31,REGULAR,15,465.38,2025-10-05 23:04:38.706907,1,1348377534
73639935,Urvi Deo,talwargautami@example.com,910653605570,12820 Radhakrishnan GanjAligarh496495,Medininagar,528705,2023-09-21,INACTIVE,10,360.91,2025-10-05 23:04:38.706907,1,132795720
51592174,Jasmit Sura,anusha59@example.com,912105350444,HNo 821 Barman StreetBhagalpur 755691,Secunderabad,271886,2023-08-11,NEW,2,794.83,2025-10-05 23:04:38.706907,1,1966021860
12338529,Rishi Nayak,yash47@example.org,911626035168,59031Kohli Road Bhilwara 572342,Bangalore,448389,2024-10-03,NEW,11,347.1,2025-10-05 23:04:38.706907,1,1535894569
81757554,Yagnesh Nadkarni,srinivasnisha@example.net,919948703080,4612 Dash Street Ujjain 348748,Shimoga,591693,2024-04-18,PREMIUM,12,1815.02,2025-10-05 23:04:38.706907,1,935715360
95372766,Hitesh Morar,ikbalwagle@example.org,913522324064,06DixitBahraich 227315,Latur,609032,2024-01-15,REGULAR,9,629.05,2025-10-05 23:04:38.706907,1,59591562
28111842,Charles Kannan,amrita30@example.org,915274016671,55Setty GanjBijapur974804,Tirunelveli,734693,2024-09-09,PREMIUM,8,1892.45,2025-10-05 23:04:38.706907,1,832651376
27878182,Qabil Lata,aarnav41@example.com,910674077181,7644 LataJhansi232629,Thoothukudi,474639,2023-03-30,INACTIVE,1,1023.51,2025-10-05 23:04:38.706907,1,1472569305
27353891,Gabriel Ahluwalia,tahuja@example.com,917146866075,295 VartyJabalpur431897,Parbhani,889940,2023-06-25,PREMIUM,20,1110.61,2025-10-05 23:04:38.706907,1,1079347877
19179897,Tarak Nagi,dasoliver@example.net,917958910560,HNo 031Subramaniam StreetTezpur 787717,Orai,757209,2023-08-14,PREMIUM,18,1491.58,2025-10-05 23:04:38.706907,1,2102814580
63630649,Indira Golla,atikhanna@example.org,912942586703,4445Kamdar Path Mumbai 535037,Vijayawada,178528,2023-09-02,PREMIUM,8,1626.79,2025-10-05 23:04:38.706907,1,167399728
16359370,Harsh Gaba,zayan66@example.org,919244843255,HNo 384Yohannan Chowk Nanded222053,South Dumdum,945900,2023-12-05,PREMIUM,1,1352.7,2025-10-05 23:04:38.706907,1,745308377
92123198,Diya Munshi,garimadutt@example.com,916233788456,HNo 86Rastogi RoadTiruchirappalli 971518,Bidar,505894,2023-08-30,REGULAR,8,224.01,2025-10-05 23:04:38.706907,1,1446215991
77306672,Bina Seshadri,qsaha@example.com,919226071144,58Balay Nagar Berhampore 873691,Motihari,249750,2024-09-16,REGULAR,20,456.24,2025-10-05 23:04:38.706907,1,319295132
67696145,Isaac Rattan,yuvrajkant@example.net,919860704868,7994 Kuruvilla Road Bihar Sharif023568,Bettiah,523966,2023-06-06,REGULAR,18,482.94,2025-10-05 23:04:38.706907,1,582831544
29902416,Falak Choudhry,gautampandit@example.org,919002751510,0863Bhatt PathKhammam521999,Tenali,401415,2023-07-17,INACTIVE,18,1010.11,2025-10-05 23:04:38.706907,1,1030523425
11446157,Nidhi Borra,upadhriti34@example.org,911548720905,99071 Dua Street Sultan Pur Majra817622,Shimoga,681393,2024-09-18,INACTIVE,8,400.97,2025-10-05 23:04:38.706907,1,1375890076
84377964,Saumya Babu,palleta@example.com,919610745850,49 Deol Nagar Khammam 908157,Tezpur,257432,2024-10-24,INACTIVE,13,1458.37,2025-10-05 23:04:38.706907,1,1703468759
12591752,Zilmil Krishna,ukant@example.org,918759648216,116 Korpal GanjJunagadh 903149,Singrauli,711091,2023-05-28,INACTIVE,14,740.4,2025-10-05 23:04:38.706907,1,163760400
4940671,Sarthak Doshi,fariq53@example.org,910560446881,42 Mand NagarKolkata949731,Silchar,431653,2024-06-17,INACTIVE,7,494.03,2025-10-05 23:04:38.706907,1,17808387
88111697,Ronith Rajagopal,hemalkala@example.org,919594249087,6888Bhargava Marg Rajahmundry132192,Ballia,413102,2024-01-30,REGULAR,4,1731.14,2025-10-05 23:04:38.706907,1,291001036
98241853,Lila Mangal,reddydamini@example.com,911819094177,9906Kala ZilaGandhidham 366062,Vellore,575103,2024-04-25,PREMIUM,19,1203.76,2025-10-05 23:04:38.706907,1,1166824535
75482,Jeet Gandhi,amrita05@example.net,916683687947,95861 Jaggi Sikar343285,Korba,298093,2024-09-19,REGULAR,13,1938.38,2025-10-05 23:04:38.706907,1,1246239411
6291143,Banjeet Oak,abhatia@example.com,917842043541,56942Rajan RoadMysore 031754,Yamunanagar,135844,2023-08-05,INACTIVE,19,1934.37,2025-10-05 23:04:38.706907,1,728745748
20209237,Anthony Ratti,aryan46@example.com,919343589933,44934 Varma MargThiruvananthapuram851021,Shimoga,467793,2024-02-11,REGULAR,19,1121.1,2025-10-05 23:04:38.706907,1,807622889
85435560,Viraj Nair,krishnavedhika@example.org,918573659769,3280Rajan Zila Anantapur 869770,Ludhiana,660678,2024-07-28,INACTIVE,8,1309.0,2025-10-05 23:04:38.706907,1,1750255591
68063317,Reva Rajagopal,lavanya06@example.com,915914922675,95 Bahl ZilaKirari Suleman Nagar350381,Muzaffarnagar,732932,2024-10-21,INACTIVE,4,1316.23,2025-10-05 23:04:38.706907,1,1900065430
82594354,Harinakshi Sule,ocontractor@example.net,919987025776,HNo 608Dhawan GanjNizamabad 291392,Avadi,345071,2024-01-04,REGULAR,7,321.8,2025-10-05 23:04:38.706907,1,1937373490
51040116,Inaya Pillai,wyattsavant@example.com,912195862964,77Mistry Ganj Unnao632141,Berhampur,595645,2023-11-14,REGULAR,11,783.03,2025-10-05 23:04:38.706907,1,1611630880
78053306,Meera Naik,sdeo@example.org,915474543951,96063Aggarwal Ganj Kozhikode 808109,Visakhapatnam,436981,2024-06-27,INACTIVE,6,1037.09,2025-10-05 23:04:38.706907,1,393581120
66761643,Samuel Mukherjee,wriddhishwagle@example.net,915802972983,63Goel ZilaIchalkaranji 944267,Anand,695591,2023-05-07,REGULAR,20,1432.01,2025-10-05 23:04:38.706907,1,145112528
81932548,Baghyawati Gill,vaishnaviagrawal@example.com,914157659941,227Panchal Ganj Raiganj 028467,Etawah,439705,2024-10-31,PREMIUM,12,1508.41,2025-10-05 23:04:38.706907,1,824216401
19682060,Hamsini Swamy,vedhikasawhney@example.net,917542713658,14652Ganesan Nagar Patna892135,Jehanabad,273810,2024-02-12,INACTIVE,4,850.2,2025-10-05 23:04:38.706907,1,98766873
1719710,Pushti Sabharwal,ramachandranharini@example.com,913657008587,49 Halder Circle Dindigul895174,Giridih,798390,2023-06-26,NEW,2,1332.82,2025-10-05 23:04:38.706907,1,2068087251
74195536,Champak Chhabra,ishanviratti@example.org,917254004313,2129Yohannan Ambarnath175439,Amaravati,861407,2024-10-09,PREMIUM,5,650.62,2025-10-05 23:04:38.706907,1,332729284
15534747,Oviya Luthra,edhar@example.org,913346867550,HNo 51 Mahajan StreetDehradun 313062,Kadapa,76910,2023-09-19,INACTIVE,15,362.34,2025-10-05 23:04:38.706907,1,1942197558
95558510,Ekaraj Halder,jairaj73@example.com,910597301955,59 Raj Tenali 078584,Bhind,565088,2023-06-25,INACTIVE,5,466.28,2025-10-05 23:04:38.706907,1,1105209160
767523,Maya Khosla,khannaijaya@example.org,918702216695,HNo 10Venkatesh Street Kakinada 570578,VasaiVirar,375272,2023-05-27,INACTIVE,13,1737.28,2025-10-05 23:04:38.706907,1,489350467
55056284,Devika Lal,kamdarkalpit@example.com,911917523704,HNo 812 Iyengar PathJaunpur 333582,Ichalkaranji,969027,2024-05-13,INACTIVE,11,373.44,2025-10-05 23:04:38.706907,1,818287672
86167288,Rachana Rajagopal,cratta@example.net,918164279226,HNo 292Baral NagarBettiah410932,Nagpur,155646,2023-08-14,INACTIVE,1,1049.94,2025-10-05 23:04:38.706907,1,955204715
96511007,Hema Mannan,minhasria@example.net,914841825600,2507Sarraf GanjAjmer104308,Dindigul,470156,2024-06-26,NEW,14,1243.4,2025-10-05 23:04:38.706907,1,816033405
31084686,Jai Ramaswamy,ylad@example.net,914211350551,60650 Yogi RoadBaranagar 657937,Aurangabad,587018,2024-06-20,REGULAR,4,893.55,2025-10-05 23:04:38.706907,1,808289289
99594960,Amaira Tak,inarang@example.net,918945188793,14029RajanShimoga387010,Madanapalle,446417,2023-06-12,INACTIVE,16,1475.23,2025-10-05 23:04:38.706907,1,81965350
53815931,Praneel Sekhon,dalbirganguly@example.org,912760371239,06 Bedi Sonipat496094,Jaipur,663082,2023-07-19,INACTIVE,17,1739.94,2025-10-05 23:04:38.706907,1,1746909918
21597477,Mugdha Chaudhuri,varshadate@example.net,914449713252,HNo 85 Johal Path Nadiad 338564,Bhopal,801132,2023-09-21,INACTIVE,18,246.42,2025-10-05 23:04:38.706907,1,631703632
243838,Sudiksha Nagar,chandanikrish@example.net,913688907644,HNo 58Cherian ZilaDhule 851724,Visakhapatnam,865844,2024-05-16,NEW,11,1158.27,2025-10-05 23:04:38.706907,1,607638042
15484407,Saksham Kaur,nathmohammed@example.net,912436260247,45 Gera Path Medininagar812341,Kakinada,457519,2024-06-11,PREMIUM,18,560.95,2025-10-05 23:04:38.706907,1,750241990
21677923,Lipika Mukhopadhyay,masonnayar@example.net,915843023006,045Nath Circle Nagpur291495,Kakinada,247798,2023-07-18,NEW,17,465.55,2025-10-05 23:04:38.706907,1,1257408020
24845814,Harshil Shukla,vedhikavora@example.net,914481465069,HNo 189BrahmbhattShimoga 947864,Raipur,46092,2023-03-31,REGULAR,17,423.79,2025-10-05 23:04:38.706907,1,574128043
99893898,Vedant Master,forumwable@example.com,916100269271,123 Manda Circle Dehradun 286985,Berhampore,893327,2023-11-22,NEW,16,365.4,2025-10-05 23:04:38.706907,1,256474316
95856869,Bahadurjit Ratta,dinradhika@example.org,914932348174,HNo 031 Lala Nagar Nandyal 203236,Tirupati,650085,2024-03-08,NEW,12,531.83,2025-10-05 23:04:38.706907,1,1074017092
40275138,Eiravati Thaker,umangbabu@example.net,913593061474,14926Goswami NagarBhiwani379094,Bathinda,833704,2024-01-05,INACTIVE,18,1468.32,2025-10-05 23:04:38.706907,1,486057413
